CNPE;Taux_redevance;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Nogent;38560;10000;343.0782109655071;270.9318739076214;221.43566306418631;2.214356630641863;68.2141802357787;885.2424164119951;0.9986;4.136060128868653;3.403601049461259;100.5910484641389;1.189235485445611;28.503552;0.4499260921134464
Nogent;39060;10000;347.7134718310087;275.55265330558905;223.60376013276743;2.2360376013276744;69.51305032645112;904.2897197856001;0.9989;4.251757295275307;3.562249981934381;100.15220361749691;1.1935425036725775;28.873152;0.4480293780355553
Nogent;39560;10000;352.9394910570288;280.6373400267422;225.11244863452637;2.2511244863452635;72.53971478577117;903.6704224535812;0.9987;4.2596584006746365;3.5215790134016136;101.10080287493655;1.190937990680821;29.242752;0.45053200340889027
Nogent;40060;10000;360.95357586860166;287.75873123962833;229.54128959814793;2.2954128959814795;71.27187635155805;926.2654944338286;0.999;4.360904176880706;3.550308237040691;100.34707011415848;1.1814542906321754;29.612352;0.45314150705802503
Nogent;40560;10000;362.91182343923043;293.6605459094371;227.33266428544223;2.2733266428544225;77.53191535968718;928.5015743132749;0.9997;4.357229783796982;3.513270436569459;100.87561211714366;1.1889326564388176;29.981952;0.450645589314679
Nogent;41060;10000;369.154720442644;293.6286550310342;233.33736463317598;2.3333736463317596;76.67313481949974;937.0182135015779;0.9996;4.448962462158483;3.6024576421942793;100.66501398976821;1.192043748051441;30.351552;0.44789153780330937
Nogent;41560;10000;373.4818280554197;295.2121296199991;236.3426710981646;2.363426710981646;82.16817911761551;950.636698916786;0.9992;4.49900844167847;3.6606136222123773;100.83517541273069;1.1900773458973164;30.721152;0.4509949193000574
Nogent;42060;10000;380.84374191709605;302.1441092729628;237.22274865154617;2.372227486515462;84.54164449326;959.9232413772896;0.9993;4.608448559747888;3.6959352574411657;100.1354861769531;1.1798800645177148;31.090752;0.448961668530563
Nogent;42560;10000;380.07115960498356;300.8793679591798;239.38488535181605;2.3938488535181603;83.60160653020309;970.0372695171213;0.9999;4.554882628581168;3.7122922942346053;101.04930946769888;1.1940379601565594;31.460352;0.4500471017605613
Nogent;43060;10000;391.96189267751873;314.3076787276594;242.1611364349967;2.421611364349967;86.63678938062215;987.6133199542473;0.9996;4.74583384351664;3.8249967558761186;100.121432752794;1.178956904059328;31.829952;0.453400008138013
Nogent;43560;10000;393.2049402540204;312.8055523147708;243.9147264911962;2.4391472649119623;93.07110019593323;987.2696260553381;0.9999;4.704289548297427;3.758922258140258;100.76997999398702;1.1826716934079504;32.199552;0.4493539144205439
Nogent;44060;10000;395.97701123906046;314.01079286679936;245.08109922118064;2.4508109922118066;92.16801934705192;996.6146544962354;1.0;4.743594916137573;3.770041805410372;100.65591518369375;1.1850973917834504;32.569152;0.44749802275482986
Nogent;44560;10000;400.2977936081532;318.2231816287527;246.0866277621704;2.460866277621704;95.65262496321141;1002.9971965959888;0.9999;4.780918741374509;3.7927962175512535;100.80445671196412;1.190440747389702;32.938752;0.44933056495209583
Nogent;45060;10000;403.4149282594613;322.7367738112076;248.40153560442246;2.4840153560442246;97.07415129218897;1012.9155747508761;1.0;4.863851595222219;3.8939889084483466;100.54502654445733;1.190018108350651;33.308352;0.448239010192658
Nogent;45560;10000;408.4161307865762;325.4115661934868;250.3307833298482;2.503307833298482;98.35368691884945;1021.5031607730728;1.0;4.92896000694107;3.9446958452258643;100.31032533980454;1.183623399741013;33.677952;0.45065337457614163
